file,type,count,distinct_retired_ids,retired_ids,lines_also_naming_an_in_service_module
code_audit/run35_operational_disposition.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run35_validation_metric_contract.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run36_100_target_scientific_reaudit.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run36_parameter_provenance_reaudit.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 D1.1 D1.2 D1.3 D1.4 D1.5,0
code_audit/run37_defensibility_reconciliation.csv,per-module audit rows (committed artifact),37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/run17/method_cards.json,audit-artifact generator / tool,37,37,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.20 B2.3 B2.4 B2.5 B2.6 B2.7 B2.8 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.3 D1.4 D1.5,0
server/tools/test_run20_cycle8_arch3_clusters.py,test suite,36,14,A3.4 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.20 B4.1 B4.2 B4.5 B4.6,1
code_audit/run36_parsimony_crossrun_reconciliation.csv,per-module audit rows (committed artifact),35,15,A2.10 A2.11 A2.4 A2.5 A2.6 A5.3 B2.19 B2.9 B4.1 B4.6 B4.7 D1.1 D1.2 D1.4 D1.5,7
server/tools/test_run2_fifteen_defects.py,test suite,35,7,A1.1 A2.5 B2.1 B4.7 D1.3 D1.4 D1.5,4
server/tools/build_run34_artifacts.py,audit-artifact generator / tool,34,5,D1.1 D1.2 D1.3 D1.4 D1.5,0
